#ID B V RA DEC
152     19.573  18.452 00:24:15.09 +85:09:06.60
153     19.631  18.745 00:24:10.32 +85:10:24.70
154     20.021  18.715 00:23:58.42 +85:12:55.90
155     18.140  17.536 00:24:23.08 +85:07:49.90
156     21.734  20.621 00:24:14.40 +85:09:40.00
157     19.885  18.598 00:23:11.29 +85:22:21.80
158     20.515  19.708 00:22:38.78 +85:28:38.00
160     20.463  20.061 00:22:55.93 +85:25:42.70
161     17.576  16.632 00:23:47.25 +85:15:51.40
162     22.469  21.361 00:23:15.19 +85:22:14.80
163     22.070  20.543 00:24:07.13 +85:12:08.10
164     19.803  19.183 00:22:45.03 +85:28:04.50
167     18.601  17.626 00:23:43.10 +85:17:49.90
169     20.779  19.839 00:23:01.45 +85:26:00.20
171     20.920  19.328 00:24:35.00 +85:07:33.50
172     20.093  19.587 00:23:28.29 +85:21:29.40
173     21.324  20.201 00:23:01.08 +85:26:43.90
175     19.804  18.266 00:24:20.42 +85:11:10.90
177     21.338  20.390 00:23:49.65 +85:17:35.00
178     16.496  15.205 00:24:16.91 +85:12:04.80
179     17.285  16.611 00:24:53.22 +85:04:27.60
180     18.997  17.963 00:22:52.75 +85:28:37.00
181     17.225  16.440 00:24:34.41 +85:08:33.70
182     21.108  19.626 00:24:27.21 +85:10:06.20
184     17.378  16.537 00:23:56.07 +85:16:36.30
185     17.310  16.709 00:23:39.43 +85:19:56.80
186     22.477  20.958 00:23:40.87 +85:19:41.40
187     19.346  18.763 00:24:12.72 +85:13:25.50
188     21.588  20.569 00:23:03.84 +85:26:58.50
190     16.789  16.017 00:22:47.24 +85:30:23.40
191     19.263  18.159 00:23:27.19 +85:23:16.60
192     19.627  18.125 00:22:59.06 +85:28:48.20
195     17.973  17.094 00:24:29.09 +85:11:24.70
197     15.842  15.014 00:22:15.52 +85:37:06.50
198     21.440  20.018 00:24:23.95 +85:12:57.70
199     18.700  18.417 00:23:22.99 +85:25:04.90
200     18.918  17.935 00:23:47.59 +85:20:22.20
201     21.893  20.362 00:24:36.82 +85:10:30.60
